Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0001775	NM_112755.2.p1, NM_148478.2.p1, NM_001332493.1.p1	XM_045102049.1.p1, XM_045114147.1.p1
OG0001776	NM_111690.2.p1	XM_045106626.1.p1
OG0001776	NM_117185.5.p1, NM_001334150.1.p1, NM_001334149.1.p1, NM_105094.3.p1	XM_045119495.1.p1, XM_045120606.1.p1
OG0001777	NM_001337928.1.p1, NM_111980.4.p1, NM_001337932.1.p1, NM_001337933.1.p1, NM_001335139.1.p1, NM_001335138.1.p1, NM_001335137.1.p1, NM_001335140.1.p1, NM_001337929.1.p1, NM_001337930.1.p1	XM_045099470.1.p1, XM_045099362.1.p1, XM_045099413.1.p1
OG0001778	NM_119844.6.p1, NM_001335600.1.p1, NM_127416.4.p1	XM_045128334.1.p1, XM_045095849.1.p1
OG0001779	NM_001336870.1.p1, NM_001336868.1.p1, NM_001336871.1.p1, NM_115506.3.p1, NM_001336082.1.p1, NM_128234.4.p1	XM_045121428.1.p1
OG0001780	NM_118065.4.p1, NM_001341341.1.p1, NM_203157.2.p1, NM_001337350.1.p1, NM_102886.2.p1	XM_045093786.1.p1
OG0001781	NM_103777.4.p1, NM_121618.4.p1, NM_180173.2.p1, NM_001337417.1.p1, NM_111124.4.p1	XM_045111903.1.p1
OG0001782	NM_001338024.1.p1, NM_112142.4.p1, NM_001338023.1.p1	XM_045128570.1.p1, XM_045111753.1.p1, XM_045111752.1.p1
OG0001784	NM_103700.4.p1, NM_001340150.1.p1, NM_116091.4.p1	XM_045107326.1.p1, XM_045091426.1.p1
OG0001785	NM_127265.3.p1, NM_001342330.1.p1, NM_119690.2.p1	XM_045097563.1.p1, XM_045111577.1.p1, XM_045128379.1.p1, XM_045100575.1.p1
OG0001786	NM_111801.5.p1, NM_001342681.1.p1	XM_045122213.1.p1, XM_045122219.1.p1, XM_045106679.1.p1
OG0001787	NM_001344425.1.p1, NM_102429.4.p1	XM_045117199.1.p1, XM_045106560.1.p1, XM_045094436.1.p2, XM_045094437.1.p2
OG0001788	NM_117980.5.p1, NM_001344647.1.p1, NM_001344646.1.p1	XM_045119473.1.p1, XM_045120706.1.p1
OG0001790	NM_180290.2.p1, NM_180291.3.p1, NM_203204.3.p1, NM_001345101.1.p1, NM_124865.4.p1	XM_045109611.1.p1
OG0001791	NM_100449.4.p1	XM_045122008.1.p1
OG0001792	NM_102075.4.p1, NM_106467.4.p1, NM_116960.4.p1	XM_045123771.1.p1
OG0001793	NM_180314.2.p1, NM_113783.3.p1, NM_104663.2.p1, NM_105657.4.p1, NM_102472.4.p1	XM_045129510.1.p1, XM_045116061.1.p1
OG0001794	NM_103782.3.p1	XM_045119512.1.p1, XM_045122079.1.p1, XM_045122077.1.p1
OG0001795	NM_105637.3.p1, NM_114630.4.p1	XM_045101831.1.p1, XM_045095637.1.p1
OG0001796	NM_106274.4.p1	XM_045095839.1.p1, XM_045114511.1.p1, XM_045103972.1.p1, XM_045105706.1.p1, XM_045103382.1.p1, XM_045115510.1.p1
OG0001797	NM_129169.3.p1, NM_120702.2.p1, NM_111988.3.p1, NM_128296.4.p1	XM_045114399.1.p1
OG0001798	NM_112404.5.p1	XM_045111338.1.p1
OG0001798	NM_116590.4.p1, NM_179254.7.p1	XM_045092938.1.p1
OG0001800	NM_128263.5.p1, NM_112968.4.p1	XM_045125751.1.p1
OG0001801	NM_117926.3.p1, NM_124007.3.p1	XM_045092727.1.p1, XM_045099259.1.p1
OG0001802	NM_119752.4.p1, NM_117821.4.p1	XR_006622348.1.p1, XM_045099479.1.p1
OG0001803	NM_117853.4.p1, NM_124102.5.p1	XM_045111661.1.p1, XM_045127542.1.p1
OG0001804	NM_124634.2.p1, NM_118699.4.p1, NM_118701.2.p1	XM_045096065.1.p1
OG0001805	NM_119912.3.p1	XM_045128997.1.p1, XR_006632589.1.p1, XM_045128998.1.p1, XM_045128999.1.p1
OG0001806	NM_120614.3.p1, NM_120015.3.p1	XM_045126714.1.p1, XR_006631460.1.p1, XM_045123521.1.p1, XM_045123518.1.p1, XM_045117370.1.p1, XM_045123516.1.p1
OG0001807	NM_121353.4.p1, NM_180482.2.p1	XM_045116520.1.p1, XM_045119893.1.p1, XM_045119892.1.p1
OG0001808	NM_124938.5.p1	XM_045113782.1.p1
OG0001809	NM_128284.2.p1	XM_045124795.1.p1
OG0001810	NM_128375.4.p1	XM_045123812.1.p1, XM_045123813.1.p1, XM_045102086.1.p1, XM_045102088.1.p1, XM_045102087.1.p1
OG0001816	NM_106519.2.p1, NM_128976.4.p1, NM_001036399.1.p1, NM_001336500.1.p1, NM_102671.5.p1, NM_001332844.1.p1	XM_045129272.1.p1, XM_045120805.1.p1
OG0001817	NM_118476.4.p1, NM_001036625.1.p1, NM_001198375.1.p1, NM_202355.3.p1, NM_123504.2.p1	XM_045103973.1.p1
OG0001818	NM_180757.3.p1, NM_122760.4.p1, NM_001036885.2.p1, NM_001344083.1.p1	XM_045129429.1.p1
OG0001820	NM_001084022.1.p1, NM_100730.4.p1	XR_006631924.1.p1, XM_045108348.1.p1
OG0001821	NM_001084586.3.p1, NM_001161107.2.p1, NM_001337081.1.p1, NM_129992.4.p1, NM_001340020.1.p1, NM_001340017.1.p1	XM_045126799.1.p1, XM_045109264.1.p1
OG0001822	NM_129585.5.p1, NM_201918.1.p1, NM_001084831.2.p1, NM_115463.4.p1, NM_203231.2.p1	XM_045117708.1.p1, XM_045108250.1.p1, XM_045125928.1.p1
OG0001823	NM_001124962.1.p1, NM_128891.4.p1, NM_100334.4.p1, NM_179258.2.p1, NM_001203930.2.p1, NM_119006.3.p1	XM_045099487.1.p1
OG0001824	NM_118995.3.p1, NM_001125602.1.p1	XM_045096098.1.p1
OG0001825	NM_118997.4.p1, NM_001335682.1.p1, NM_001341921.1.p1, NM_001161053.2.p1	XM_045098093.1.p1
OG0001826	NM_001334758.1.p1, NM_101993.4.p1, NM_001332504.1.p1, NM_106351.4.p1, NM_001198486.2.p1	XM_045122070.1.p1, XM_045119260.1.p1, XM_045119267.1.p1
OG0001827	NM_001202572.1.p1, NM_001335113.1.p1, NM_126298.4.p1, NM_001335114.1.p1, NM_001335112.1.p1, NM_001335115.1.p1, NM_001335108.1.p1, NM_001335117.1.p1, NM_001335109.1.p1, NM_001335110.1.p1	XR_006609655.1.p1, XM_045089953.1.p1
OG0001829	NM_128830.4.p1, NM_124259.2.p1, NM_001203566.1.p1	XM_045114580.1.p2, XM_045091404.1.p1, XM_045127048.1.p1
OG0001830	NM_124968.3.p1, NM_001332019.1.p1	XM_045125035.1.p1, XM_045090585.1.p1
OG0001831	NM_104231.4.p1, NM_001332603.1.p1	XM_045097723.1.p1
OG0001832	NM_130317.3.p1	XM_045117415.1.p1
OG0001832	NM_102349.4.p1, NM_001332677.1.p1	XM_045120093.1.p1
OG0001833	NM_001334001.1.p1, NM_104862.4.p1, NM_124861.5.p1	XM_045109918.1.p1, XM_045099950.1.p1, XM_045099948.1.p1
OG0001834	NM_001334514.1.p1, NM_105863.3.p1, NM_001334513.1.p1	XM_045093550.1.p1, XM_045093487.1.p1, XM_045094919.1.p1
OG0001835	NM_001334779.1.p1, NM_001334780.1.p1, NM_125775.4.p1	XM_045117011.1.p1, XM_045119346.1.p1, XM_045119354.1.p1
OG0001836	NM_128813.2.p1, NM_179859.4.p1, NM_128821.2.p1, NM_001336406.1.p1, NM_001336407.1.p1, NM_117620.1.p1, NM_001341028.1.p1, NM_001341030.1.p1, NM_001341029.1.p1, NM_117617.6.p1, NM_128820.3.p1	XM_045110600.1.p1
OG0001837	NM_179402.4.p1, NM_179904.5.p1, NM_001336524.1.p1	XM_045091298.1.p1, XM_045091297.1.p1
OG0001838	NM_180154.7.p1, NM_001337303.1.p1, NM_116172.3.p1	XR_006621764.1.p1, XM_045125394.1.p1
OG0001839	NM_111911.5.p1, NM_001337893.1.p1, NM_001337892.1.p1, NM_122513.4.p1	XM_045108330.1.p1, XM_045125779.1.p1, XM_045125036.1.p1, XM_045090277.1.p1, XM_045124999.1.p1
OG0001840	NM_103876.3.p1, NM_001338409.1.p1, NM_001338408.1.p1, NM_180283.5.p1	XM_045126586.1.p1
OG0001841	NM_122109.4.p1, NM_114238.3.p1, NM_001339103.1.p1, NM_111245.3.p1	XM_045129322.1.p1, XM_045109909.1.p1
OG0001843	NM_112222.4.p1, NM_104392.2.p1, NR_139358.1.p1, NM_101632.4.p1, NM_001341974.1.p1	XM_045119053.1.p1, XM_045119055.1.p1, XM_045101406.1.p1
OG0001844	NM_001342234.1.p1, NM_119538.7.p1	XM_045123436.1.p1, XM_045114074.1.p1
OG0001845	NM_001343002.1.p1, NM_120929.4.p1, NM_122256.3.p1, NM_001343811.1.p1, NM_001343810.1.p1	XM_045118349.1.p1, XM_045107342.1.p1
OG0001846	NM_100940.7.p1, NM_104742.4.p1, NM_001343351.1.p1, NM_121469.4.p1	XM_045128270.1.p1, XM_045120505.1.p1
OG0001847	NM_001344122.1.p1, NM_001344121.1.p1	XM_045107420.1.p1, XM_045106518.1.p1
OG0001848	NM_001345647.1.p1, NM_125866.3.p1	XM_045100770.1.p1, XM_045116966.1.p1, XM_045114829.1.p1, XM_045097871.1.p1, XM_045115846.1.p1, XM_045113924.1.p1
OG0001849	NM_111498.1.p1, NM_101693.3.p1, NM_106009.3.p1	XM_045127571.1.p1, XM_045127570.1.p1, XM_045128066.1.p1, XM_045123308.1.p1
OG0001850	NM_123345.3.p1, NM_102451.2.p1	XM_045098028.1.p1, XM_045113334.1.p1, XM_045113333.1.p1, XM_045128301.1.p1, XM_045092776.1.p1
OG0001851	NM_103871.4.p1, NM_112843.2.p1	XM_045090742.1.p1, XM_045124450.1.p1
OG0001852	NM_105089.3.p1, NM_117190.3.p1, NM_118500.3.p1	XM_045113260.1.p1, XM_045113654.1.p2
OG0001853	NM_105522.5.p1, NM_105380.5.p1, NM_111122.5.p1	XM_045110259.1.p1
OG0001854	NM_122856.3.p1	XM_045128408.1.p1
OG0001854	NM_111021.4.p1	XM_045119294.1.p1, XM_045110605.1.p1
OG0001855	NM_111839.3.p1	XM_045119156.1.p1
OG0001856	NM_112338.5.p1	XM_045097709.1.p1
OG0001857	NM_112363.4.p1, NM_202588.2.p1	XM_045120414.1.p1
OG0001858	NM_112971.4.p1, NM_121301.5.p1	XM_045111701.1.p1, XM_045111703.1.p1, XM_045129230.1.p1
OG0001859	NM_202621.3.p1, NM_113066.3.p1, NM_124860.2.p1	XM_045113900.1.p1
OG0001860	NM_113495.3.p1	XM_045120403.1.p1
OG0001861	NM_114751.2.p1, NM_124605.4.p1, NM_118688.3.p1	XM_045114431.1.p1, XM_045114432.1.p1, XM_045095924.1.p1
OG0001862	NM_202761.3.p1, NM_114764.4.p1	XM_045123366.1.p1, XM_045096785.1.p1
OG0001863	NM_115649.3.p1	XM_045115698.1.p1, XM_045127234.1.p1
OG0001864	NM_117235.5.p1, NM_125595.4.p1	XM_045101655.1.p1, XM_045094413.1.p1
OG0001865	NM_119857.3.p1	XM_045100319.1.p1
OG0001866	NM_122219.3.p1, NM_120903.3.p1	XM_045127442.1.p1, XM_045115352.1.p1
OG0001867	NM_122428.3.p1	XM_045114812.1.p1, XM_045102878.1.p2, XM_045097624.1.p2
OG0001868	NM_124067.2.p1, NM_124066.2.p1, NM_124068.2.p1, NM_124070.2.p1, NM_124069.2.p1, NM_124064.2.p1, NM_124065.2.p1, NM_123222.2.p1	XM_045094994.1.p1
OG0001869	NM_125946.3.p1	XM_045091625.1.p1
OG0001870	NM_128588.5.p1	XM_045094843.1.p1
OG0001874	NM_113878.5.p1, NM_001035717.2.p1, NM_101242.3.p1	XM_045109081.1.p1
OG0001875	NM_122722.2.p1, NM_001035772.3.p1	XM_045124995.1.p1, XM_045124994.1.p1
OG0001876	NM_113450.5.p1, NM_001338756.1.p1, NM_101228.2.p1, NM_001198056.2.p1, NM_001035960.2.p1	XM_045094704.1.p1, XM_045090522.1.p1, XM_045089847.1.p1
OG0001877	NM_118353.3.p1, NM_103945.2.p1, NM_001036090.2.p1, NM_112921.4.p1	XM_045104866.1.p1
OG0001878	NM_001036497.2.p1, NM_001340388.1.p1, NM_178958.2.p1, NM_001203730.2.p1	XR_006611486.1.p1, XM_045097445.1.p1, XM_045124935.1.p1
OG0001879	NM_001036703.3.p1, NM_119462.4.p1, NM_127498.3.p1	XM_045111140.1.p1, XM_045119105.1.p1
OG0001880	NM_001344059.1.p1, NM_001344060.1.p1, NM_001344058.1.p1, NM_001344061.1.p1, NM_001344062.1.p1, NM_001344063.1.p1, NM_001344064.1.p1, NM_001036883.2.p1, NM_001125104.1.p1, NM_111363.4.p1	XM_045109304.1.p1
OG0001881	NM_001037081.2.p1, NM_001345741.1.p1, NM_001345742.1.p1, NM_126005.4.p1, NM_127327.4.p1, NM_001202615.1.p1, NM_001342376.1.p1, NM_119750.3.p1	XR_006612866.1.p1, XM_045103333.1.p2
OG0001882	NM_201778.3.p1, NM_001084467.2.p1, NM_001335781.1.p1, NM_001204040.1.p1, NM_120114.2.p1	XM_045112395.1.p1, XM_045097307.1.p1, XM_045105176.1.p1
OG0001883	NM_001345611.1.p1, NM_125773.4.p1, NM_001343033.1.p1, NM_001085079.2.p1, NM_001343031.1.p1, NM_001343035.1.p1, NM_001343034.1.p1, NM_001343032.1.p1, NM_120956.3.p1, NM_001343036.1.p1, NM_001343037.1.p1	XM_045112793.1.p1, XM_045112790.1.p1, XM_045112792.1.p1
OG0001884	NM_104615.4.p1, NM_001124042.2.p1, NM_001198335.1.p1, NM_100872.6.p1, NM_001331872.1.p1	XM_045128289.1.p1, XM_045124747.1.p1
OG0001886	NM_001125901.2.p1	XM_045102763.1.p1, XM_045102761.1.p1
OG0001887	NM_100379.3.p1, NM_001160832.2.p1, NM_116634.4.p1	XM_045091121.1.p1, XM_045104276.1.p1
OG0001888	NM_001198094.1.p1, NM_101608.5.p1, NM_001332306.1.p1, NM_202404.2.p1	XR_006631054.1.p1
OG0001889	NM_121177.4.p1, NM_001198424.2.p1	XM_045116379.1.p1, XM_045101957.1.p1
OG0001890	NM_101575.4.p1, NM_001332281.1.p1, NM_106489.3.p1, NM_001198496.1.p1	XM_045102358.1.p1, XM_045095242.1.p1, XM_045095244.1.p1
OG0001891	NM_202589.2.p1, NM_112389.4.p1, NM_001202749.1.p1, NM_129028.4.p1, NM_118982.4.p1, NM_001341917.1.p1, NM_201761.1.p1, NM_127627.3.p1	XM_045109725.1.p1
OG0001892	NM_001203431.2.p1	XM_045126186.1.p1, XM_045129215.1.p1, XM_045128058.1.p1
OG0001893	NM_001332860.1.p1, NM_001332857.1.p1	XM_045128341.1.p1, XM_045128340.1.p1, XM_045128355.1.p1, XM_045128358.1.p1, XM_045128357.1.p1, XM_045128356.1.p1, XM_045128317.1.p1, XM_045128354.1.p1, XM_045128360.1.p1, XM_045128361.1.p1
OG0001894	NM_103051.5.p1, NM_001333030.1.p1, NM_001340664.1.p1, NM_001340665.1.p1, NM_001340666.1.p1, NM_001340667.1.p1, NM_202799.2.p1, NM_117111.5.p1, NM_202800.1.p1	XM_045105678.1.p1, XM_045096888.1.p1
OG0001895	NM_101769.4.p1, NM_001334536.1.p1, NM_001334537.1.p1, NM_105909.3.p1	XM_045093966.1.p1, XM_045109011.1.p1
OG0001897	NM_201832.1.p1, NM_001336220.1.p1, NM_128519.6.p1	XR_006630744.1.p1, XM_045120059.1.p1
OG0001897	NM_116261.4.p1	XM_045123349.1.p1
OG0001898	NM_122190.3.p1, NM_129222.4.p1, NM_001336605.1.p1, NM_001336604.1.p1	XM_045121320.1.p1
OG0001899	NM_001336939.1.p1, NM_001336938.1.p1, NM_001336945.1.p1, NM_129752.5.p1, NM_001336941.1.p1, NM_001336942.1.p1, NM_115615.3.p1	XM_045129637.1.p1
OG0001900	NM_001337403.1.p1, NM_001337402.1.p1, NM_115596.6.p1	XM_045094103.1.p1, XM_045094104.1.p1, XM_045094099.1.p1
OG0001901	NM_112149.4.p1, NM_202571.1.p1, NM_180244.1.p1, NM_001338031.1.p1	XM_045119273.1.p1, XM_045121793.1.p1
OG0001902	NM_001338618.1.p1, NM_113216.3.p1, NM_111329.4.p1, NM_202489.2.p1	XM_045115218.1.p1, XM_045095178.1.p1, XM_045095177.1.p1
OG0001903	NM_113292.2.p1, NM_001338659.1.p1, NM_001338660.1.p1, NM_001340880.1.p1, NM_001340878.1.p1, NM_117454.2.p1, NM_001340881.1.p1, NM_001340877.1.p1	XM_045099703.1.p1, XM_045110323.1.p1
OG0001904	NM_001339837.1.p1, NM_115563.3.p1, NM_129695.4.p1	XM_045094396.1.p1, XM_045122529.1.p1
OG0001905	NM_128105.4.p1, NM_119385.3.p1, NM_001342134.1.p1	XM_045099951.1.p1, XM_045095108.1.p1
OG0001908	NM_101128.5.p1	XM_045127932.1.p1, XM_045115560.1.p1, XM_045115561.1.p1, XM_045098330.1.p1, XM_045114489.1.p1
OG0001909	NM_101917.3.p1, NM_202424.2.p1	XM_045127908.1.p1, XM_045128407.1.p1
OG0001910	NM_103618.3.p1, NM_126133.4.p1, NM_127879.4.p1	XM_045092070.1.p1, XM_045128146.1.p1, XM_045126574.1.p1
OG0001911	NM_105638.4.p1, NM_106112.3.p1	XM_045097033.1.p1, XM_045100097.1.p1
OG0001912	NM_112210.3.p1	XM_045116058.1.p1
OG0001913	NM_130097.5.p1, NM_118399.4.p1, NM_124535.4.p1	XM_045100282.1.p1
OG0001914	NM_118665.4.p1	XM_045104856.1.p1
OG0001915	NM_119052.4.p1	XM_045119581.1.p1, XM_045100120.1.p1
OG0001916	NM_128150.5.p1, NM_119063.3.p1, NM_127539.3.p1	XM_045119079.1.p1
OG0001917	NM_128003.4.p1, NM_179722.3.p1, NM_119283.4.p1	XM_045093991.1.p1, XM_045093990.1.p1, XM_045100512.1.p1
OG0001918	NM_119286.3.p1, NM_128005.4.p1	XM_045114050.1.p1, XM_045114054.1.p1
OG0001919	NM_128126.5.p1, NM_179735.2.p1, NM_119413.4.p1	XM_045110918.1.p1, XM_045119190.1.p1
OG0001920	NM_119442.3.p1, NM_122484.3.p1	XM_045121083.1.p1, XM_045123474.1.p1
OG0001922	NM_124901.5.p1	XM_045128239.1.p1, XM_045100869.1.p1
OG0001924	NM_125434.4.p1, NM_203240.3.p1	XM_045101812.1.p1
OG0001925	NM_126855.4.p1	XM_045111151.1.p1, XM_045111148.1.p1, XM_045111150.1.p1, XM_045093908.1.p1
OG0001926	NM_127157.1.p1	XM_045112033.1.p1, XR_006622445.1.p1, XM_045112034.1.p1, XR_006622443.1.p1, XM_045112031.1.p1, XR_006622444.1.p1, XM_045112032.1.p1, XR_006622442.1.p1
OG0001927	NM_127274.3.p1, NM_127273.4.p1	XM_045127102.1.p1, XM_045115714.1.p1
OG0001928	NM_128311.3.p1	XM_045089829.1.p1, XM_045122923.1.p1, XM_045117066.1.p1
OG0001929	NM_130278.3.p1	XM_045110063.1.p1
OG0001932	NM_179923.2.p1	XM_045093162.1.p1
OG0001936	NM_001331269.1.p1, NM_100019.2.p1, NM_001035850.3.p1	XM_045120962.1.p2
OG0001936	NM_001085047.2.p1	XR_006611934.1.p2
OG0001937	NM_001331370.1.p1, NM_001035861.2.p1, NM_001331369.1.p1, NM_100177.4.p1, NM_179251.3.p1	XM_045097581.1.p1, XM_045097582.1.p1, XM_045097580.1.p1, XM_045097578.1.p1, XM_045097579.1.p1, XM_045097583.1.p1
OG0001938	NM_001341771.1.p1, NM_179114.2.p1, NM_118732.2.p1, NM_180870.2.p1, NM_001037010.2.p1, NM_125100.4.p1	XM_045098316.1.p1, XM_045100973.1.p1
OG0001939	NM_001084309.2.p1, NM_001084308.5.p1, NM_105235.5.p1, NM_001124081.2.p1	XM_045105874.1.p1, XM_045122022.1.p1, XM_045108952.1.p1
OG0001940	NM_203218.2.p1, NM_203219.2.p1, NM_001203627.1.p1, NM_125097.3.p1, NM_001341984.1.p1, NM_001125608.1.p1, NM_119139.3.p1, NM_001341983.1.p1, NM_001085002.2.p1	XM_045114061.1.p1
OG0001942	NM_122107.4.p1, NM_001085142.1.p1, NM_180176.4.p1, NM_121798.4.p1	XM_045123468.1.p1, XM_045092202.1.p1
OG0001943	NM_001125526.2.p1, NM_001341191.1.p1, NM_001341192.1.p1, NM_001341193.1.p1	XM_045100745.1.p1, XM_045095122.1.p1
OG0001944	NM_001332358.1.p1, NM_001332357.1.p1, NM_101725.3.p1, NM_001160998.2.p1, NM_123304.4.p1	XM_045109160.1.p1, XM_045109162.1.p1
OG0001945	NM_122473.3.p1, NM_001203470.1.p1, NM_001340844.1.p1, NM_001340845.1.p1, NM_117399.4.p1	XM_045116354.1.p1, XM_045116777.1.p1
OG0001946	NM_001340413.1.p1, NM_001340411.1.p1, NM_001340414.1.p1, NM_202775.1.p1, NM_001331406.1.p1	XM_045107978.1.p1
OG0001949	NM_001338089.1.p1, NM_112244.5.p1, NM_104306.3.p1, NM_001334546.1.p1, NM_105929.5.p1, NM_001332307.1.p1	XM_045106260.1.p1
OG0001950	NM_001332806.1.p1, NM_179388.2.p1, NM_102586.3.p1	XM_045100479.1.p1, XM_045100480.1.p1
OG0001951	NM_102836.3.p1, NM_001332933.1.p1	XM_045128584.1.p1, XM_045128585.1.p1
OG0001952	NM_105446.3.p1, NM_001334286.1.p1, NM_001344261.1.p1, NM_123230.4.p1	XM_045118853.1.p1, XM_045100443.1.p1, XM_045100438.1.p1, XM_045100442.1.p1
OG0001953	NM_001334833.1.p1, NM_001334834.1.p1, NM_001334832.1.p1	XM_045101084.1.p1, XM_045123628.1.p1
OG0001954	NM_100915.4.p1, NM_121490.3.p1, NM_001335496.1.p1, NM_001335497.1.p1, NM_127242.4.p1	XM_045102444.1.p1, XM_045102552.1.p1, XM_045103179.1.p1, XM_045091095.1.p1, XM_045092116.1.p1
OG0001955	NM_115279.3.p1, NM_001336713.1.p1, NM_001336712.1.p1, NM_129420.5.p1	XM_045121516.1.p1, XM_045121233.1.p1, XM_045090556.1.p1
OG0001956	NM_001337117.1.p1, NM_130082.4.p1	XM_045111385.1.p1, XM_045098062.1.p1
OG0001957	NM_118932.5.p1, NM_001337184.1.p1, NM_201969.1.p1	XM_045101734.1.p1, XM_045119516.1.p1, XM_045119517.1.p1
OG0001958	NM_120433.3.p1, NM_001342711.1.p1, NM_001337848.1.p1, NM_111826.4.p1	XM_045113976.1.p1, XM_045113972.1.p1, XM_045127002.1.p1
OG0001959	NM_112156.2.p1, NM_001338034.1.p1	XM_045128896.1.p1, XM_045128894.1.p1
OG0001960	NM_001338305.1.p1, NM_112650.4.p1, NM_112651.5.p1, NM_001338307.1.p1	XM_045094758.1.p1
OG0001961	NM_001338575.1.p1, NM_202623.4.p1, NM_001338576.1.p1, NM_001338577.1.p1	XM_045100290.1.p1, XM_045096938.1.p1, XM_045096937.1.p1, XM_045096935.1.p1
OG0001962	NM_113411.3.p1, NM_001338741.1.p1	XM_045090034.1.p1, XM_045090033.1.p1
OG0001963	NM_114480.4.p1, NM_001339234.1.p1, NM_202660.2.p1, NM_001345371.1.p1, NM_125371.6.p1	XM_045121833.1.p1
OG0001964	NM_180340.3.p1, NM_001339387.1.p1, NM_114747.5.p1	XM_045115449.1.p1
OG0001965	NM_179961.2.p1, NM_201901.4.p1, NM_129373.4.p1, NM_001339537.1.p1, NM_115045.4.p1	XM_045111894.1.p1, XM_045120228.1.p1
OG0001966	NM_115214.5.p1, NM_001339620.1.p1	XM_045108206.1.p1, XM_045108783.1.p1, XM_045126040.1.p1
OG0001967	NM_202752.2.p1, NM_001340193.1.p1, NM_116187.4.p1	XM_045096890.1.p1
OG0001968	NM_001342016.1.p1, NM_119209.3.p1, NM_125176.5.p1, NM_001345278.1.p1	XM_045092785.1.p1, XM_045097403.1.p1
OG0001969	NM_001342056.1.p1, NM_202919.2.p1, NM_001342057.1.p1	XM_045101457.1.p1
OG0001970	NM_127180.5.p1, NM_001342285.1.p1, NM_119613.8.p1, NM_123636.7.p1	XM_045126369.1.p1, XM_045124205.1.p1
OG0001971	NM_001342944.1.p1, NM_130044.2.p1, NM_115893.4.p1, NR_140775.1.p1, NR_140774.1.p1	XM_045114998.1.p1, XM_045112947.1.p1
OG0001972	NM_121792.4.p1, NM_001343527.1.p1, NM_121791.2.p1, NM_001343526.1.p1	XM_045113514.1.p1, XM_045127989.1.p1, XM_045091125.1.p1
OG0001973	NM_180670.2.p1, NM_148717.4.p1	XM_045099625.1.p1
OG0001973	NM_123413.3.p1, NM_001344334.1.p1	XM_045102498.1.p1
OG0001974	NM_001344465.1.p1, NM_123652.3.p1	XM_045125364.1.p1
OG0001975	NM_105081.4.p1, NM_001345014.1.p1, NM_124665.5.p1	XM_045116357.1.p1
OG0001976	NM_120197.4.p1, NM_129364.4.p1, NM_001345328.1.p1	XM_045125054.1.p1
OG0001977	NM_120804.3.p1, NM_001345523.1.p1, NM_001345522.1.p1, NM_125603.3.p1, NM_124585.4.p1	XM_045094401.1.p1, XM_045103787.1.p1
OG0001978	NM_117295.4.p1, NR_140778.1.p1, NM_116228.3.p1, NM_100080.4.p1	XM_045126254.1.p1
OG0001979	NM_100773.4.p1	XM_045090154.1.p1
OG0001980	NM_125837.4.p1	XM_045098758.1.p1, XM_045094963.1.p1
OG0001980	NM_100867.2.p1	XM_045112965.1.p1, XM_045111890.1.p1
OG0001981	NM_102083.3.p1, NM_202440.1.p1, NM_106475.3.p1	XM_045097315.1.p1, XM_045104974.1.p1
OG0001982	NM_102663.2.p1, NM_123949.2.p1, NM_117986.3.p1	XM_045121165.1.p1
OG0001983	NM_102673.6.p1	XM_045125863.1.p1
OG0001983	NM_113408.4.p1	XM_045089991.1.p1
OG0001984	NM_103024.2.p1, NM_121646.3.p1, NM_106548.2.p1, NR_139813.1.p1	XM_045114583.1.p1, XM_045114584.1.p1, XM_045114586.1.p1, XM_045114587.1.p1
OG0001985	NM_122264.5.p1, NM_103271.4.p1, NM_117025.6.p1	XM_045124725.1.p1, XM_045128540.1.p1
OG0001987	NM_105451.4.p1, NM_113549.3.p1, NM_113550.3.p1	XM_045118582.1.p1, XM_045118583.1.p1, XM_045118584.1.p1, XR_006621839.1.p1
OG0001988	NM_111080.4.p1	XM_045128925.1.p1, XM_045109078.1.p1
OG0001988	NM_105594.3.p1	XM_045110172.1.p1
OG0001989	NM_121492.2.p1, NM_105698.5.p1	XM_045098561.1.p1, XM_045103490.1.p1, XM_045101219.1.p1
OG0001990	NM_106299.4.p1, NM_127292.3.p1	XM_045101642.1.p1, XM_045093889.1.p1
OG0001991	NM_118005.3.p1, NM_106517.2.p1	XM_045119352.1.p1, XM_045103005.1.p1
OG0001992	NM_122026.4.p1	XM_045099952.1.p1
OG0001993	NM_111041.5.p1	XM_045095711.1.p1, XM_045119666.1.p1, XM_045125259.1.p1, XR_006622997.1.p2
OG0001994	NM_111200.5.p1	XM_045129318.1.p1, XM_045129317.1.p1
OG0001995	NM_122204.3.p1, NM_114370.4.p1, NM_111876.5.p1	XM_045112148.1.p1, XM_045095719.1.p1
OG0001996	NM_180444.3.p1, NM_120643.2.p1, NM_111955.3.p1, NM_202551.1.p1	XM_045129766.1.p1, XM_045109855.1.p1, XM_045110250.1.p1
OG0001997	NM_124800.3.p1, NM_112415.4.p1	XM_045112542.1.p1, XM_045111320.1.p1, XM_045095576.1.p1, XM_045095574.1.p1
OG0001998	NM_113341.2.p1	XM_045120418.1.p1, XR_006630459.1.p1
OG0001999	NM_123442.5.p1, NM_113642.4.p1, NM_202640.2.p1	XM_045095913.1.p1, XM_045110848.1.p1
OG0002000	NM_114882.2.p1, NM_126121.2.p1	XM_045097288.1.p1, XM_045105384.1.p1, XM_045114853.1.p1
